,compra,venda,data
0,761.49,765.3,1989-01-02
1,770.36,774.21,1989-01-03
2,779.33,783.23,1989-01-04
3,788.41,792.35,1989-01-05
4,797.59,801.58,1989-01-06
5,806.88,810.92,1989-01-09
6,816.28,820.36,1989-01-10
7,825.78,829.91,1989-01-11
8,835.4,839.58,1989-01-12
9,845.13,849.36,1989-01-13
10,0.995,1.0,1989-01-16
11,0.995,1.0,1989-01-17
12,0.995,1.0,1989-01-18
13,0.995,1.0,1989-01-19
14,0.995,1.0,1989-01-20
15,0.995,1.0,1989-01-23
16,0.995,1.0,1989-01-24
17,0.995,1.0,1989-01-25
18,0.995,1.0,1989-01-26
19,0.995,1.0,1989-01-27
20,0.995,1.0,1989-01-30
21,0.995,1.0,1989-01-31
22,0.995,1.0,1989-02-01
23,0.995,1.0,1989-02-02
24,0.995,1.0,1989-02-03
25,0.995,1.0,1989-02-08
26,0.995,1.0,1989-02-09
27,0.995,1.0,1989-02-10
28,0.995,1.0,1989-02-13
29,0.995,1.0,1989-02-14
30,0.995,1.0,1989-02-15
31,0.995,1.0,1989-02-16
32,0.995,1.0,1989-02-17
33,0.995,1.0,1989-02-20
34,0.995,1.0,1989-02-21
35,0.995,1.0,1989-02-22
36,0.995,1.0,1989-02-23
37,0.995,1.0,1989-02-24
38,0.995,1.0,1989-02-27
39,0.995,1.0,1989-02-28
40,0.995,1.0,1989-03-01
41,0.995,1.0,1989-03-02
42,0.995,1.0,1989-03-03
43,0.995,1.0,1989-03-06
44,0.995,1.0,1989-03-07
45,0.995,1.0,1989-03-08
46,0.995,1.0,1989-03-09
47,0.995,1.0,1989-03-10
48,0.995,1.0,1989-03-13
49,0.995,1.0,1989-03-14
50,0.995,1.0,1989-03-15
51,0.995,1.0,1989-03-16
52,0.995,1.0,1989-03-17
53,0.995,1.0,1989-03-20
54,0.995,1.0,1989-03-21
55,0.995,1.0,1989-03-22
56,0.995,1.0,1989-03-27
57,0.995,1.0,1989-03-28
58,0.995,1.0,1989-03-29
59,0.995,1.0,1989-03-30
60,0.995,1.0,1989-03-31
61,0.995,1.0,1989-04-03
62,0.995,1.0,1989-04-04
63,0.995,1.0,1989-04-05
64,0.995,1.0,1989-04-06
65,0.995,1.0,1989-04-07
66,0.995,1.0,1989-04-10
67,0.995,1.0,1989-04-11
68,0.995,1.0,1989-04-12
69,0.995,1.0,1989-04-13
70,0.995,1.0,1989-04-14
71,1.027,1.032,1989-04-18
72,1.027,1.032,1989-04-19
73,1.027,1.032,1989-04-20
74,1.027,1.032,1989-04-21
75,1.027,1.032,1989-04-24
76,1.027,1.032,1989-04-25
77,1.027,1.032,1989-04-26
78,1.027,1.032,1989-04-27
79,1.027,1.032,1989-04-28
80,1.027,1.032,1989-05-02
81,1.027,1.032,1989-05-03
82,1.027,1.032,1989-05-04
83,1.048,1.053,1989-05-05
84,1.048,1.053,1989-05-08
85,1.048,1.053,1989-05-09
86,1.048,1.053,1989-05-10
87,1.048,1.053,1989-05-11
88,1.095,1.1,1989-05-12
89,1.095,1.1,1989-05-15
90,1.116,1.122,1989-05-16
91,1.116,1.122,1989-05-17
92,1.116,1.122,1989-05-18
93,1.116,1.122,1989-05-19
94,1.137,1.142,1989-05-22
95,1.137,1.142,1989-05-23
96,1.137,1.142,1989-05-24
97,1.137,1.142,1989-05-26
98,1.148,1.153,1989-05-29
99,1.148,1.153,1989-05-30
100,1.148,1.153,1989-05-31
101,1.164,1.17,1989-06-01
102,1.164,1.17,1989-06-02
103,1.164,1.17,1989-06-05
104,1.211,1.217,1989-06-06
105,1.211,1.217,1989-06-07
106,1.211,1.217,1989-06-08
107,1.247,1.254,1989-06-09
108,1.247,1.254,1989-06-12
109,1.316,1.322,1989-06-13
110,1.316,1.322,1989-06-14
111,1.341,1.348,1989-06-15
112,1.353,1.36,1989-06-16
113,1.366,1.372,1989-06-19
114,1.378,1.385,1989-06-20
115,1.391,1.398,1989-06-21
116,1.404,1.411,1989-06-22
117,1.419,1.426,1989-06-23
118,1.437,1.444,1989-06-26
119,1.455,1.462,1989-06-27
120,1.473,1.481,1989-06-28
121,1.492,1.5,1989-06-29
122,1.512,1.519,1989-06-30
123,1.693,1.701,1989-07-03
124,1.711,1.72,1989-07-04
125,1.73,1.739,1989-07-05
126,1.75,1.758,1989-07-06
127,1.768,1.777,1989-07-07
128,1.788,1.797,1989-07-10
129,1.808,1.817,1989-07-11
130,1.829,1.838,1989-07-12
131,1.851,1.86,1989-07-13
132,1.873,1.882,1989-07-14
133,1.895,1.905,1989-07-17
134,1.918,1.928,1989-07-18
135,1.942,1.951,1989-07-19
136,1.965,1.975,1989-07-20
137,1.989,1.999,1989-07-21
138,2.013,2.023,1989-07-24
139,2.037,2.047,1989-07-25
140,2.066,2.076,1989-07-26
141,2.095,2.105,1989-07-27
142,2.124,2.135,1989-07-28
