compra,venda,data
2814.0,2828.0,03-12-1984
2814.0,2828.0,03-12-1984
2867.0,2881.0,04-12-1984
2867.0,2881.0,05-12-1984
2867.0,2881.0,05-12-1984
2908.0,2923.0,05-12-1984
2908.0,2923.0,06-12-1984
2908.0,2923.0,07-12-1984
2950.0,2965.0,10-12-1984
2950.0,2965.0,11-12-1984
2950.0,2965.0,12-12-1984
2950.0,2965.0,13-12-1984
2993.0,3008.0,14-12-1984
2993.0,3008.0,17-12-1984
2993.0,3008.0,18-12-1984
2993.0,3008.0,19-12-1984
3041.0,3056.0,20-12-1984
3041.0,3056.0,21-12-1984
3041.0,3056.0,24-12-1984
3091.0,3106.0,26-12-1984
3091.0,3106.0,27-12-1984
3168.0,3184.0,28-12-1984
3228.0,3244.0,07-01-1985
3228.0,3244.0,08-01-1985
3228.0,3244.0,09-01-1985
3228.0,3244.0,10-01-1985
3301.0,3318.0,11-01-1985
3301.0,3318.0,14-01-1985
3301.0,3318.0,15-01-1985
3376.0,3393.0,16-01-1985
3376.0,3393.0,17-01-1985
3376.0,3393.0,18-01-1985
3376.0,3393.0,21-01-1985
3441.0,3458.0,22-01-1985
3441.0,3458.0,23-01-1985
3441.0,3458.0,24-01-1985
3441.0,3458.0,25-01-1985
3494.0,3511.0,28-01-1985
3494.0,3511.0,29-01-1985
3494.0,3511.0,30-01-1985
3567.0,3585.0,31-01-1985
3567.0,3585.0,01-02-1985
3567.0,3585.0,04-02-1985
3567.0,3585.0,05-02-1985
3567.0,3585.0,06-02-1985
3638.0,3656.0,07-02-1985
3638.0,3656.0,08-02-1985
3710.0,3729.0,11-02-1985
3710.0,3729.0,12-02-1985
3710.0,3729.0,13-02-1985
3783.0,3802.0,14-02-1985
3783.0,3802.0,15-02-1985
3783.0,3802.0,20-02-1985
3856.0,3875.0,21-02-1985
3856.0,3875.0,22-02-1985
3916.0,3936.0,25-02-1985
3916.0,3936.0,26-02-1985
3916.0,3936.0,27-02-1985
3931.0,3951.0,28-02-1985
3931.0,3951.0,01-03-1985
3931.0,3951.0,04-03-1985
3997.0,4017.0,05-03-1985
3997.0,4017.0,06-03-1985
3997.0,4017.0,07-03-1985
3997.0,4017.0,08-03-1985
4068.0,4088.0,11-03-1985
4068.0,4088.0,12-03-1985
4068.0,4088.0,13-03-1985
4140.0,4161.0,14-03-1985
4140.0,4161.0,15-03-1985
4140.0,4161.0,18-03-1985
4140.0,4161.0,19-03-1985
4180.0,4200.0,20-03-1985
4180.0,4200.0,21-03-1985
4230.0,4250.0,22-03-1985
4270.0,4290.0,25-03-1985
4310.0,4330.0,26-03-1985
4350.0,4370.0,27-03-1985
4380.0,4400.0,28-03-1985
4430.0,4450.0,29-03-1985
4450.0,4470.0,01-04-1985
4480.0,4500.0,02-04-1985
4510.0,4530.0,03-04-1985
4540.0,4560.0,08-04-1985
4560.0,4580.0,09-04-1985
4580.0,4600.0,10-04-1985
4610.0,4630.0,11-04-1985
4630.0,4650.0,12-04-1985
4660.0,4680.0,15-04-1985
4690.0,4710.0,16-04-1985
4710.0,4730.0,17-04-1985
4740.0,4760.0,18-04-1985
4770.0,4790.0,19-04-1985
4820.0,4840.0,23-04-1985
4850.0,4870.0,24-04-1985
4870.0,4890.0,25-04-1985
4900.0,4920.0,26-04-1985
4930.0,4950.0,29-04-1985
4960.0,4980.0,30-04-1985
4980.0,5000.0,02-05-1985
5000.0,5020.0,03-05-1985
5030.0,5050.0,06-05-1985
5050.0,5070.0,07-05-1985
5070.0,5090.0,08-05-1985
5090.0,5110.0,09-05-1985
5110.0,5130.0,10-05-1985
5140.0,5160.0,13-05-1985
5160.0,5180.0,14-05-1985
5180.0,5200.0,15-05-1985
5200.0,5220.0,16-05-1985
5220.0,5240.0,17-05-1985
5250.0,5270.0,20-05-1985
5270.0,5290.0,21-05-1985
5290.0,5310.0,22-05-1985
5320.0,5340.0,23-05-1985
5340.0,5360.0,24-05-1985
5370.0,5390.0,27-05-1985
5390.0,5410.0,28-05-1985
5410.0,5430.0,29-05-1985
5430.0,5450.0,30-05-1985
5460.0,5480.0,31-05-1985
5490.0,5510.0,03-06-1985
5510.0,5530.0,04-06-1985
5540.0,5560.0,05-06-1985
5560.0,5580.0,06-06-1985
5560.0,5580.0,07-06-1985
5590.0,5610.0,10-06-1985
5610.0,5630.0,11-06-1985
5640.0,5660.0,12-06-1985
5670.0,5690.0,13-06-1985
5690.0,5710.0,14-06-1985
5720.0,5740.0,17-06-1985
5750.0,5770.0,18-06-1985
5770.0,5790.0,19-06-1985
5800.0,5820.0,20-06-1985
5830.0,5850.0,21-06-1985
5860.0,5880.0,24-06-1985
5880.0,5900.0,25-06-1985
5910.0,5930.0,26-06-1985
5940.0,5960.0,27-06-1985
5960.0,5980.0,28-06-1985
5980.0,6000.0,01-07-1985
6000.0,6020.0,02-07-1985
6020.0,6040.0,03-07-1985
6040.0,6060.0,04-07-1985
6060.0,6080.0,05-07-1985
6080.0,6100.0,08-07-1985
6100.0,6120.0,09-07-1985
6120.0,6140.0,10-07-1985
6140.0,6160.0,11-07-1985
6160.0,6180.0,12-07-1985
6180.0,6200.0,15-07-1985
6200.0,6220.0,16-07-1985
6220.0,6240.0,17-07-1985
6240.0,6260.0,18-07-1985
6260.0,6280.0,19-07-1985
6280.0,6300.0,22-07-1985
6300.0,6320.0,23-07-1985
6320.0,6340.0,24-07-1985
6340.0,6360.0,25-07-1985
6360.0,6380.0,26-07-1985
6380.0,6400.0,29-07-1985
6400.0,6420.0,30-07-1985
6420.0,6440.0,31-07-1985
6440.0,6460.0,01-08-1985
6460.0,6480.0,02-08-1985
6490.0,6510.0,05-08-1985
6510.0,6530.0,06-08-1985
6540.0,6560.0,07-08-1985
6560.0,6580.0,08-08-1985
6580.0,6600.0,09-08-1985
6610.0,6630.0,12-08-1985
6630.0,6650.0,13-08-1985
6650.0,6670.0,14-08-1985
