Luxembourg,OECD - Europe,Brazil,G20,Slovak Republic,Turkey,Canada,Latvia,Slovenia,Germany,Hungary,Costa Rica,Russia,Belgium,Netherlands,United States,Korea,Chile,Austria,G7,OECD - Total,Czech Republic,India,Portugal,Estonia,Indonesia,Denmark,Spain,Norway,United Kingdom,Poland,Euro area (19 countries),Colombia,Greece,Finland,Mexico,Iceland,Saudi Arabia,Italy,Ireland,Lithuania,South Africa,France,Switzerland,China (People's Republic of),Israel,Sweden,Japan,Date
3.214605,5.878082,8.853113,4.459063,13.61772,68.87825,2.185792,3.089545,7.78136,1.549464,10.0,10.09244,28.93463,1.775956,1.799308,2.738892,1.891143,2.831071,1.14974,1.91083,3.955105,3.318903,2.619048,2.094064,3.26087,0.2896312,3.159406,2.878244,2.900553,1.2,10.1,1.9,8.246038,2.630594,2.268321,11.02319,5.797101,0.0,2.203857,4.017217,0.8523839,2.648305,1.539053,1.585403,-0.2,1.216216,0.4480461,-0.9,01-2000
2.669265,5.99355,7.862087,4.633076,16.42276,69.74646,2.729258,3.468712,8.422837,1.547619,9.8,10.88157,25.10856,1.93566,1.914337,3.221884,1.770662,3.329546,1.639344,2.208118,4.204338,3.607504,3.614458,1.828184,3.071364,-0.8960915,3.000172,2.962815,3.172414,1.2,10.4,2.0,8.901215,2.909816,2.780879,10.52269,5.609284,-0.5,2.383135,4.279601,0.8149678,2.330508,1.355325,1.623698,0.7,1.632653,0.9312293,-0.6,02-2000
2.812105,5.917166,6.923308,4.676515,16.54501,67.89619,3.043478,3.242113,9.034197,1.547619,9.6,12.05088,22.49174,2.247344,1.938831,3.757576,2.110769,3.424276,1.939891,2.508384,4.407731,3.607504,4.830918,1.547905,3.144654,-1.165234,3.238747,2.9172,2.60274,1.0,10.3,2.1,9.735671,3.14405,3.145602,10.1124,5.87103,-0.8008008,2.470265,4.694168,0.8284765,3.389831,1.491016,1.48293,-0.2,1.500682,1.032529,-0.5,03-2000
2.711602,5.545,6.774717,4.280593,15.98063,63.82483,2.162162,3.752836,9.242109,1.066351,9.2,11.52222,19.94751,2.048847,1.880109,3.068592,1.445583,3.532477,1.857923,1.9967,3.918967,3.314121,5.542169,2.082461,3.139014,0.05769231,3.050059,2.964295,2.595628,0.9,9.8,1.8,9.971436,2.5752,2.642257,9.731856,5.933014,-0.8016032,2.281022,4.809052,0.783294,4.545455,1.207269,1.402478,-0.3,1.768708,0.7203997,-0.8,04-2000
2.549493,5.572327,6.46562,4.277447,16.02254,62.67466,2.373247,3.076121,9.037951,0.9478673,9.1,10.5365,19.396,2.167141,2.179243,3.188929,1.103681,3.629279,1.745296,2.092862,3.972942,3.458213,5.011933,2.535863,2.859696,1.195757,3.268745,3.13872,2.872777,1.0,10.0,1.9,10.0,2.927272,2.695776,9.483447,5.910391,-1.495513,2.459016,5.211267,0.4519283,5.079365,1.397713,1.580529,0.1,1.894452,1.008969,-0.7,05-2000
3.265701,5.686698,6.50879,4.584454,15.38461,58.61823,2.798708,2.415459,9.740969,1.301775,9.1,10.49719,20.14581,2.741213,2.461034,3.730445,2.217343,3.722218,2.73224,2.498754,4.272218,4.178674,5.238095,2.891107,3.217158,2.031734,3.286609,3.428798,3.278688,1.2,10.2,2.2,9.662458,2.527602,3.00158,9.413062,5.387524,-1.198801,2.73224,5.617978,1.258291,5.157895,1.66476,1.839189,0.5,2.024292,0.8415039,-0.7,06-2000
3.44389,5.592517,7.057234,4.644218,9.173616,56.21405,2.900107,2.856148,8.882028,1.295642,9.6,11.67211,18.94225,2.791328,2.313167,3.659268,2.978961,3.78775,2.814207,2.481771,4.283554,3.857143,4.95283,3.252349,4.110813,4.459221,3.068574,3.608052,3.150685,1.2,11.6,2.2,9.298741,2.73894,2.849324,9.1187,5.655043,-1.498502,2.633969,6.197183,1.382565,5.993691,1.771152,1.888825,0.5,2.018842,0.8025433,-0.5,07-2000
3.138237,5.319692,7.855683,4.45754,8.6727,53.1652,2.572347,2.42456,8.209456,1.179245,9.6,11.74607,18.73061,2.876136,2.205282,3.411131,2.446591,3.851111,2.730003,2.309317,4.053381,3.85164,3.99061,3.454046,4.476276,5.961311,2.435748,3.601389,3.576341,1.0,10.7,2.1,9.100204,2.99218,3.192381,9.104194,4.694836,-1.201201,2.631579,6.162465,0.958019,6.86378,1.793665,1.124738,0.3,0.8032129,0.8723297,-0.8,08-2000
3.418475,5.337436,7.769289,4.421428,8.695652,48.95833,2.67094,2.208696,8.906703,1.654846,10.3,11.4391,18.54341,3.370786,2.96748,3.454437,3.515894,4.24657,3.030304,2.385699,4.054712,4.0,3.496504,3.383684,4.736372,6.638839,2.673286,3.669732,3.542234,1.3,10.3,2.5,9.197453,3.142113,3.72041,8.849431,3.906977,-1.202405,2.626812,6.284916,0.335777,6.940063,2.146304,1.439942,0.0,0.0,0.8700339,-0.8,09-2000
3.446955,5.049257,6.650557,4.265854,8.575689,44.43645,2.774813,1.969592,9.019183,1.656805,10.4,10.51676,19.40878,2.974179,3.059843,3.448276,2.639581,4.506154,2.800434,2.347651,3.900588,4.136947,2.745996,3.520461,5.43672,7.806913,2.686186,3.973836,3.12076,1.4,9.9,2.5,8.987053,4.030341,3.595442,8.909186,4.247461,-1.5,2.617328,6.834031,1.168338,7.03043,1.954563,1.332193,0.0,-0.132626,0.9728524,-0.9,10-2000
