mês,valor
01-1980,
02-1980,
03-1980,
04-1980,
05-1980,
06-1980,
07-1980,
08-1980,
09-1980,
10-1980,
11-1980,
12-1980,99.25
01-1981,99.67
02-1981,103.07
03-1981,101.03
04-1981,103.27
05-1981,103.00
06-1981,103.41
07-1981,104.78
08-1981,105.85
09-1981,107.88
10-1981,99.52
11-1981,96.89
12-1981,95.62
01-1982,95.86
02-1982,96.29
03-1982,97.68
04-1982,96.61
05-1982,98.65
06-1982,101.64
07-1982,101.84
08-1982,102.75
09-1982,102.41
10-1982,101.19
11-1982,101.22
12-1982,104.79
01-1983,108.00
02-1983,110.38
03-1983,113.63
04-1983,115.03
05-1983,114.67
06-1983,120.24
07-1983,127.94
08-1983,134.69
09-1983,146.35
10-1983,156.78
11-1983,161.90
12-1983,164.01
01-1984,166.51
02-1984,170.57
03-1984,174.59
04-1984,182.22
05-1984,189.03
06-1984,189.55
07-1984,188.62
08-1984,189.25
09-1984,193.05
10-1984,197.27
11-1984,205.97
12-1984,215.26
01-1985,221.27
02-1985,225.28
03-1985,228.93
04-1985,224.88
05-1985,219.36
06-1985,214.76
07-1985,216.44
08-1985,224.26
09-1985,222.43
10-1985,222.95
11-1985,233.02
12-1985,242.23
01-1986,250.23
02-1986,256.08
03-1986,238.65
04-1986,215.44
05-1986,198.38
06-1986,178.52
07-1986,156.80
08-1986,137.33
09-1986,117.25
10-1986,100.13
11-1986,85.17
12-1986,79.66
01-1987,77.84
02-1987,77.71
03-1987,97.39
04-1987,133.27
05-1987,179.40
06-1987,230.27
07-1987,254.63
08-1987,259.14
09-1987,280.55
10-1987,315.35
11-1987,353.27
12-1987,363.41
01-1988,386.67
02-1988,399.90
03-1988,405.18
04-1988,405.99
05-1988,389.19
06-1988,398.54
07-1988,456.52
08-1988,545.24
09-1988,662.99
10-1988,761.78
11-1988,858.09
12-1988,980.21
01-1989,1149.22
02-1989,1160.88
03-1989,1045.29
04-1989,940.07
05-1989,944.50
06-1989,1001.44
07-1989,1054.11
08-1989,1169.15
09-1989,1269.82
10-1989,1424.12
11-1989,1660.95
12-1989,1972.91
01-1990,2426.12
02-1990,3701.29
03-1990,6390.53
04-1990,6821.31
05-1990,6214.99
06-1990,5385.43
07-1990,4749.03
08-1990,3993.62
09-1990,3304.71
10-1990,2685.74
11-1990,2101.34
12-1990,1620.97
01-1991,1140.27
02-1991,752.02
03-1991,422.84
04-1991,375.18
05-1991,374.48
06-1991,372.10
07-1991,369.96
08-1991,381.41
09-1991,386.55
10-1991,411.52
11-1991,448.31
12-1991,472.70
01-1992,497.32
02-1992,515.13
03-1992,567.21
04-1992,662.16
05-1992,785.81
06-1992,857.68
07-1992,937.94
08-1992,996.37
09-1992,1081.70
10-1992,1130.94
11-1992,1104.20
12-1992,1119.10
01-1993,1161.79
02-1993,1168.49
03-1993,1229.71
04-1993,1316.42
05-1993,1348.52
06-1993,1467.33
07-1993,1581.70
08-1993,1730.67
09-1993,1893.13
10-1993,2031.27
11-1993,2258.68
12-1993,2477.15
01-1994,2693.84
02-1994,3035.71
03-1994,3417.39
04-1994,3828.49
05-1994,4331.19
06-1994,4922.60
07-1994,4005.08
08-1994,3044.89
09-1994,2253.15
10-1994,1703.17
11-1994,1267.54
12-1994,916.46
01-1995,631.54
02-1995,426.83
03-1995,274.78
04-1995,169.05
05-1995,91.79
06-1995,33.03
07-1995,27.45
08-1995,26.36
09-1995,25.69
10-1995,24.21
11-1995,22.59
12-1995,22.41
01-1996,21.97
02-1996,21.99
03-1996,20.55
04-1996,19.17
05-1996,17.49
06-1996,16.26
07-1996,14.84
08-1996,14.21
09-1996,13.26
10-1996,12.02
11-1996,10.75
12-1996,9.56
01-1997,9.39
02-1997,8.82
03-1997,8.99
04-1997,8.58
05-1997,7.71
06-1997,7.02
07-1997,6.08
08-1997,5.59
09-1997,5.50
10-1997,5.42
11-1997,5.27
12-1997,5.22
01-1998,4.73
02-1998,4.69
03-1998,4.52
04-1998,3.85
05-1998,3.95
06-1998,3.41
07-1998,3.06
08-1998,2.55
09-1998,2.27
10-1998,2.05
11-1998,1.76
12-1998,1.65
01-1999,1.65
02-1999,2.24
03-1999,3.02
04-1999,3.35
05-1999,3.14
06-1999,3.32
07-1999,4.57
08-1999,5.69
09-1999,6.25
10-1999,7.50
11-1999,8.65
12-1999,8.94
01-2000,8.85
02-2000,7.86
03-2000,6.92
04-2000,6.77
05-2000,6.47
06-2000,6.51
07-2000,7.06
08-2000,7.86
09-2000,7.77
10-2000,6.65
11-2000,5.99
12-2000,5.97
01-2001,5.92
02-2001,6.27
03-2001,6.44
04-2001,6.61
05-2001,7.04
06-2001,7.35
07-2001,7.05
08-2001,6.41
09-2001,6.46
10-2001,7.19
11-2001,7.61
12-2001,7.67
01-2002,7.62
02-2002,7.51
03-2002,7.75
04-2002,7.98
05-2002,7.77
06-2002,7.66
07-2002,7.51
08-2002,7.46
09-2002,7.93
10-2002,8.45
11-2002,10.93
12-2002,12.53
01-2003,14.47
02-2003,15.85
03-2003,16.57
04-2003,16.77
05-2003,17.24
06-2003,16.57
07-2003,15.43
08-2003,15.07
09-2003,15.14
10-2003,13.98
11-2003,11.02
12-2003,9.30
01-2004,7.71
02-2004,6.69
03-2004,5.89
04-2004,5.26
05-2004,5.15
06-2004,6.06
07-2004,6.81
08-2004,7.18
09-2004,6.70
10-2004,6.86
11-2004,7.24
12-2004,7.60
01-2005,7.41
02-2005,7.39
03-2005,7.54
04-2005,8.07
05-2005,8.05
06-2005,7.27
07-2005,6.57
08-2005,6.02
09-2005,6.04
10-2005,6.36
11-2005,6.22
12-2005,5.69
01-2006,5.70
02-2006,5.51
03-2006,5.32
04-2006,4.63
05-2006,4.23
06-2006,4.03
07-2006,3.97
08-2006,3.84
09-2006,3.70
10-2006,3.26
11-2006,3.02
12-2006,3.14
01-2007,2.99
02-2007,3.02
03-2007,2.96
04-2007,3.00
05-2007,3.18
06-2007,3.69
07-2007,3.74
08-2007,4.18
09-2007,4.15
10-2007,4.12
11-2007,4.19
12-2007,4.46
01-2008,4.56
02-2008,4.61
03-2008,4.73
04-2008,5.04
05-2008,5.58
06-2008,6.06
07-2008,6.37
08-2008,6.17
09-2008,6.25
10-2008,6.41
11-2008,6.39
12-2008,5.90
01-2009,5.84
02-2009,5.90
03-2009,5.61
04-2009,5.53
05-2009,5.20
06-2009,4.80
07-2009,4.50
08-2009,4.36
09-2009,4.34
10-2009,4.17
11-2009,4.22
12-2009,4.31
01-2010,4.59
02-2010,4.83
03-2010,5.17
04-2010,5.26
05-2010,5.22
06-2010,4.84
07-2010,4.60
08-2010,4.49
09-2010,4.70
10-2010,5.20
11-2010,5.63
12-2010,5.91
01-2011,5.99
02-2011,6.01
03-2011,6.30
04-2011,6.51
05-2011,6.55
06-2011,6.71
07-2011,6.87
08-2011,7.23
09-2011,7.31
10-2011,6.97
11-2011,6.64
12-2011,6.50
01-2012,6.22
02-2012,5.84
03-2012,5.24
04-2012,5.10
05-2012,4.99
06-2012,4.92
07-2012,5.20
08-2012,5.24
09-2012,5.28
10-2012,5.45
11-2012,5.53
12-2012,5.84
01-2013,6.15
02-2013,6.31
03-2013,6.59
04-2013,6.49
05-2013,6.50
06-2013,6.70
07-2013,6.27
08-2013,6.09
09-2013,5.86
10-2013,5.84
11-2013,5.77
12-2013,5.91
01-2014,5.59
02-2014,5.68
03-2014,6.15
04-2014,6.28
05-2014,6.37
06-2014,6.52
07-2014,6.50
08-2014,6.51
09-2014,6.75
10-2014,6.59
11-2014,6.56
12-2014,6.41
01-2015,7.14
02-2015,7.70
03-2015,8.13
04-2015,8.17
05-2015,8.47
06-2015,8.89
07-2015,9.56
08-2015,9.53
09-2015,9.49
10-2015,9.93
11-2015,10.48
12-2015,10.67
01-2016,10.71
02-2016,10.36
03-2016,9.39
04-2016,9.28
05-2016,9.32
06-2016,8.84
07-2016,8.74
08-2016,8.97
09-2016,8.48
10-2016,7.87
11-2016,6.99
12-2016,6.29
01-2017,5.35
02-2017,4.76
03-2017,4.57
04-2017,4.08
05-2017,3.60
06-2017,3.00
07-2017,2.71
08-2017,2.46
09-2017,2.54
10-2017,2.70
11-2017,2.80
12-2017,2.95
01-2018,2.86
02-2018,2.84
03-2018,2.68
04-2018,2.76
05-2018,2.86
06-2018,4.39
07-2018,4.48
08-2018,4.19
09-2018,4.53
10-2018,4.56
11-2018,4.05
12-2018,3.75
01-2019,3.78
02-2019,3.89
03-2019,4.58
04-2019,4.94
05-2019,4.66
06-2019,3.37
07-2019,3.22
08-2019,3.43
09-2019,2.89
10-2019,2.54
11-2019,3.27
12-2019,4.31
01-2020,4.19
02-2020,4.01
03-2020,3.30
04-2020,2.40
05-2020,1.88
06-2020,2.13
07-2020,2.31
08-2020,2.44
09-2020,3.14
10-2020,3.92
11-2020,4.31
12-2020,4.52
01-2021,4.56
02-2021,5.20
03-2021,6.10
04-2021,6.76
05-2021,8.06
06-2021,8.35
