"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-01","Jan-2000","PC","Percentage","0","Units",,,3.159406,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-02","Feb-2000","PC","Percentage","0","Units",,,3.000172,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-03","Mar-2000","PC","Percentage","0","Units",,,3.238747,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-04","Apr-2000","PC","Percentage","0","Units",,,3.050059,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-05","May-2000","PC","Percentage","0","Units",,,3.268745,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-06","Jun-2000","PC","Percentage","0","Units",,,3.286609,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-07","Jul-2000","PC","Percentage","0","Units",,,3.068574,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-08","Aug-2000","PC","Percentage","0","Units",,,2.435748,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-09","Sep-2000","PC","Percentage","0","Units",,,2.673286,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2000-10","Oct-2000","PC","Percentage","0","Units",,,2.686186,,
