Back to Contents;Data 1: Europe Brent Spot Price FOB (Dollars per Barrel)
Sourcekey;RBRTE
Date;Europe Brent Spot Price FOB (Dollars per Barrel)
May-87;18,58
Jun-87;18,86
Jul-87;19,86
Aug-87;18,98
Sep-87;18,31
Oct-87;18,76
Nov-87;17,78
Dec-87;17,05
Jan-88;16,75
Feb-88;15,73
Mar-88;14,73
Apr-88;16,6
May-88;16,31
Jun-88;15,54
Jul-88;14,91
Aug-88;14,89
Sep-88;13,18
Oct-88;12,41
Nov-88;13,02
Dec-88;15,31
Jan-89;17,17
Feb-89;16,89
Mar-89;18,7
Apr-89;20,32
May-89;18,63
Jun-89;17,67
Jul-89;17,62
Aug-89;16,77
Sep-89;17,77
Oct-89;18,91
Nov-89;18,73
Dec-89;19,84
Jan-90;21,25
Feb-90;19,81
Mar-90;18,39
Apr-90;16,61
May-90;16,35
Jun-90;15,1
Jul-90;17,17
Aug-90;27,17
Sep-90;34,9
Oct-90;36,02
Nov-90;33,07
Dec-90;28,27
Jan-91;23,57
Feb-91;19,54
Mar-91;19,08
Apr-91;19,18
May-91;19,19
Jun-91;18,17
Jul-91;19,4
Aug-91;19,77
Sep-91;20,5
Oct-91;22,21
Nov-91;21,11
Dec-91;18,41
Jan-92;18,16
Feb-92;18,05
Mar-92;17,63
Apr-92;18,92
May-92;19,89
Jun-92;21,16
Jul-92;20,24
Aug-92;19,74
Sep-92;20,27
Oct-92;20,26
Nov-92;19,21
Dec-92;18,14
Jan-93;17,39
Feb-93;18,47
Mar-93;18,79
Apr-93;18,67
May-93;18,51
Jun-93;17,65
Jul-93;16,78
Aug-93;16,7
Sep-93;16,01
Oct-93;16,61
Nov-93;15,2
Dec-93;13,73
Jan-94;14,29
Feb-94;13,8
Mar-94;13,82
Apr-94;15,23
May-94;16,19
Jun-94;16,76
Jul-94;17,6
Aug-94;16,89
Sep-94;15,9
Oct-94;16,49
Nov-94;17,19
Dec-94;15,93
Jan-95;16,55
Feb-95;17,11
Mar-95;17,01
Apr-95;18,65
May-95;18,35
Jun-95;17,31
Jul-95;15,85
Aug-95;16,1
Sep-95;16,7
Oct-95;16,11
Nov-95;16,86
Dec-95;17,93
Jan-96;17,85
Feb-96;18
Mar-96;19,85
Apr-96;20,9
May-96;19,15
Jun-96;18,46
Jul-96;19,57
Aug-96;20,51
Sep-96;22,63
Oct-96;24,16
Nov-96;22,76
Dec-96;23,78
Jan-97;23,54
Feb-97;20,85
Mar-97;19,13
Apr-97;17,56
May-97;19,02
Jun-97;17,58
Jul-97;18,46
Aug-97;18,6
Sep-97;18,46
Oct-97;19,87
Nov-97;19,17
Dec-97;17,18
Jan-98;15,19
Feb-98;14,07
Mar-98;13,1
Apr-98;13,53
May-98;14,36
Jun-98;12,21
Jul-98;12,08
Aug-98;11,91
Sep-98;13,34
Oct-98;12,7
Nov-98;11,04
Dec-98;9,82
Jan-99;11,11
Feb-99;10,27
Mar-99;12,51
Apr-99;15,29
May-99;15,23
Jun-99;15,86
Jul-99;19,08
Aug-99;20,22
Sep-99;22,54
Oct-99;22
Nov-99;24,58
Dec-99;25,47
Jan-00;25,51
Feb-00;27,78
Mar-00;27,49
Apr-00;22,76
May-00;27,74
Jun-00;29,8
Jul-00;28,68
Aug-00;30,2
Sep-00;33,14
Oct-00;30,96
Nov-00;32,55
Dec-00;25,66
Jan-01;25,62
Feb-01;27,5
Mar-01;24,5
Apr-01;25,66
May-01;28,31
Jun-01;27,85
Jul-01;24,61
