Mês,Variável,Valor,Un
dezembro 1979,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000076183,Número-índice
dezembro 1979,IPCA - Variação mensal,,
dezembro 1979,IPCA - Variação acumulada em 3 meses,,
dezembro 1979,IPCA - Variação acumulada em 6 meses,,
dezembro 1979,IPCA - Variação acumulada no ano,,
dezembro 1979,IPCA - Variação acumulada em 12 meses,,
janeiro 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000081223,Número-índice
janeiro 1980,IPCA - Variação mensal,6.62,%
janeiro 1980,IPCA - Variação acumulada em 3 meses,,
janeiro 1980,IPCA - Variação acumulada em 6 meses,,
janeiro 1980,IPCA - Variação acumulada no ano,6.62,%
janeiro 1980,IPCA - Variação acumulada em 12 meses,,
fevereiro 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000084973,Número-índice
fevereiro 1980,IPCA - Variação mensal,4.62,%
fevereiro 1980,IPCA - Variação acumulada em 3 meses,,
fevereiro 1980,IPCA - Variação acumulada em 6 meses,,
fevereiro 1980,IPCA - Variação acumulada no ano,11.54,%
fevereiro 1980,IPCA - Variação acumulada em 12 meses,,
março 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000090104,Número-índice
março 1980,IPCA - Variação mensal,6.04,%
março 1980,IPCA - Variação acumulada em 3 meses,18.27,%
março 1980,IPCA - Variação acumulada em 6 meses,,
março 1980,IPCA - Variação acumulada no ano,18.27,%
março 1980,IPCA - Variação acumulada em 12 meses,,
abril 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000094867,Número-índice
abril 1980,IPCA - Variação mensal,5.29,%
abril 1980,IPCA - Variação acumulada em 3 meses,16.80,%
abril 1980,IPCA - Variação acumulada em 6 meses,,
abril 1980,IPCA - Variação acumulada no ano,24.53,%
abril 1980,IPCA - Variação acumulada em 12 meses,,
maio 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000100277,Número-índice
maio 1980,IPCA - Variação mensal,5.70,%
maio 1980,IPCA - Variação acumulada em 3 meses,18.01,%
maio 1980,IPCA - Variação acumulada em 6 meses,,
maio 1980,IPCA - Variação acumulada no ano,31.63,%
maio 1980,IPCA - Variação acumulada em 12 meses,,
junho 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000105597,Número-índice
junho 1980,IPCA - Variação mensal,5.31,%
junho 1980,IPCA - Variação acumulada em 3 meses,17.19,%
junho 1980,IPCA - Variação acumulada em 6 meses,38.61,%
junho 1980,IPCA - Variação acumulada no ano,38.61,%
junho 1980,IPCA - Variação acumulada em 12 meses,,
julho 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000111453,Número-índice
julho 1980,IPCA - Variação mensal,5.55,%
julho 1980,IPCA - Variação acumulada em 3 meses,17.48,%
julho 1980,IPCA - Variação acumulada em 6 meses,37.22,%
julho 1980,IPCA - Variação acumulada no ano,46.30,%
julho 1980,IPCA - Variação acumulada em 12 meses,,
agosto 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000116965,Número-índice
agosto 1980,IPCA - Variação mensal,4.95,%
agosto 1980,IPCA - Variação acumulada em 3 meses,16.64,%
agosto 1980,IPCA - Variação acumulada em 6 meses,37.65,%
agosto 1980,IPCA - Variação acumulada no ano,53.53,%
agosto 1980,IPCA - Variação acumulada em 12 meses,,
setembro 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000121913,Número-índice
setembro 1980,IPCA - Variação mensal,4.23,%
setembro 1980,IPCA - Variação acumulada em 3 meses,15.45,%
setembro 1980,IPCA - Variação acumulada em 6 meses,35.30,%
setembro 1980,IPCA - Variação acumulada no ano,60.03,%
setembro 1980,IPCA - Variação acumulada em 12 meses,,
outubro 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000133471,Número-índice
outubro 1980,IPCA - Variação mensal,9.48,%
outubro 1980,IPCA - Variação acumulada em 3 meses,19.76,%
outubro 1980,IPCA - Variação acumulada em 6 meses,40.69,%
outubro 1980,IPCA - Variação acumulada no ano,75.20,%
outubro 1980,IPCA - Variação acumulada em 12 meses,,
novembro 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000142378,Número-índice
novembro 1980,IPCA - Variação mensal,6.67,%
novembro 1980,IPCA - Variação acumulada em 3 meses,21.73,%
novembro 1980,IPCA - Variação acumulada em 6 meses,41.98,%
novembro 1980,IPCA - Variação acumulada no ano,86.89,%
novembro 1980,IPCA - Variação acumulada em 12 meses,,
dezembro 1980,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000151795,Número-índice
dezembro 1980,IPCA - Variação mensal,6.61,%
dezembro 1980,IPCA - Variação acumulada em 3 meses,24.51,%
dezembro 1980,IPCA - Variação acumulada em 6 meses,43.75,%
dezembro 1980,IPCA - Variação acumulada no ano,99.25,%
dezembro 1980,IPCA - Variação acumulada em 12 meses,99.25,%
janeiro 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000162174,Número-índice
janeiro 1981,IPCA - Variação mensal,6.84,%
janeiro 1981,IPCA - Variação acumulada em 3 meses,21.51,%
janeiro 1981,IPCA - Variação acumulada em 6 meses,45.51,%
janeiro 1981,IPCA - Variação acumulada no ano,6.84,%
janeiro 1981,IPCA - Variação acumulada em 12 meses,99.67,%
fevereiro 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000172555,Número-índice
fevereiro 1981,IPCA - Variação mensal,6.40,%
fevereiro 1981,IPCA - Variação acumulada em 3 meses,21.19,%
fevereiro 1981,IPCA - Variação acumulada em 6 meses,47.53,%
fevereiro 1981,IPCA - Variação acumulada no ano,13.68,%
fevereiro 1981,IPCA - Variação acumulada em 12 meses,103.07,%
março 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000181134,Número-índice
março 1981,IPCA - Variação mensal,4.97,%
março 1981,IPCA - Variação acumulada em 3 meses,19.33,%
março 1981,IPCA - Variação acumulada em 6 meses,48.58,%
março 1981,IPCA - Variação acumulada no ano,19.33,%
março 1981,IPCA - Variação acumulada em 12 meses,101.03,%
abril 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000192839,Número-índice
abril 1981,IPCA - Variação mensal,6.46,%
abril 1981,IPCA - Variação acumulada em 3 meses,18.91,%
abril 1981,IPCA - Variação acumulada em 6 meses,44.48,%
abril 1981,IPCA - Variação acumulada no ano,27.04,%
abril 1981,IPCA - Variação acumulada em 12 meses,103.27,%
maio 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000203560,Número-índice
maio 1981,IPCA - Variação mensal,5.56,%
maio 1981,IPCA - Variação acumulada em 3 meses,17.97,%
maio 1981,IPCA - Variação acumulada em 6 meses,42.97,%
maio 1981,IPCA - Variação acumulada no ano,34.10,%
maio 1981,IPCA - Variação acumulada em 12 meses,103.00,%
junho 1981,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000214792,Número-índice
junho 1981,IPCA - Variação mensal,5.52,%
junho 1981,IPCA - Variação acumulada em 3 meses,18.58,%
